Land;Name;Zeit;Durchgang
AUT;Mario MATT;55.14;2
AUT;Marcel HIRSCHER;54.14;2
NOR;Henrik KRISTOFFERSEN;54.18;2
ITA;Stefano GROSS;55.27;2
GER;Fritz DOPFER;54.26;2
SVK;Adam ZAMPA;53.94;2
SWE;Markus LARSSON;55.56;2
SWE;Mattias HARGIN;56.15;2
NOR;Sebastian-Foss SOLEVAAG;55.03;2
CRO;Ivica KOSTELIC;55.36;2
SLO;Mitja VALENCIC;55.82;2
NOR;Leif Kristian HAUGEN;55.38;2
USA;Nolan KASPER;55.52;2
RUS;Alexander KHOROSHILOV;55.52;2
FRA;Julien LIZEROUX;55.63;2
CAN;Michael JANYK;55.54;2
GBR;David RYDING;56.51;2
CRO;Dalibor SAMSAL;58.28;2
SUI;Ramon ZENHAEUSERN;58.39;2
CAN;Philip BROWN;59.68;2
ROU;Alexandru BARBU;59.84;2
GEO;Iason ABRAMASHVILI;1:00.78;2
POL;Michal JASICZEK;1:00.60;2
LIE;Marco PFIFFNER;1:02.02;2
NZL;Adam BARWOOD;1:01.97;2
EST;Warren Cummings SMITH;1:02.20;2
LAT;Martins ONSKULIS;1:01.44;2
CRO;Matej VIDOVIC;1:06.07;2
MKD;Antonio RISTEVSKI;1:03.06;2
IRI;Mohammad KIYADARBANDSARI;1:03.78;2
IRI;Hossein SAVEH SHEMSHAKI;1:03.90;2
ESP;Alex PUENTE TASIAS;1:05.72;2
RUS;Pavel TRIKHICHEV;1:08.16;2
ARM;Arman SEREBRAKIAN;1:04.67;2
GRE;Kostas SYKARAS;1:06.25;2
ISL;Brynjar Jokull GUDMUNDSSON;1:07.72;2
GRE;Massimiliano VALCAREGGI;1:06.75;2
MNE;Tarik HADZIC;1:06.99;2
IRL;Conor LYNE;1:09.71;2
KGZ;Evgeniy TIMOFEEV;1:12.96;2
LIB;Alexandre MOHBAT;1:18.02;2
